iter	Passed	Remaining
399	63347	95021
400	63505	94862
401	63628	94650
402	63768	94466
403	63951	94344
404	64132	94219
405	64266	94025
406	64392	93820
407	64547	93656
408	64676	93456
409	64805	93256
410	64967	93104
411	65154	92986
412	65300	92812
413	65424	92605
414	65555	92408
415	65658	92174
416	65796	91989
417	65978	91864
418	66126	91693
419	66302	91560
420	66470	91416
421	66647	91284
422	66809	91132
423	66958	90962
424	67122	90813
425	67258	90625
426	67404	90451
427	67545	90271
428	67663	90059
429	67799	89873
430	67952	89710
431	68119	89565
432	68253	89376
433	68407	89212
434	68570	89062
435	68744	88926
436	68902	88768
437	69025	88566
438	69143	88358
439	69295	88193
440	69456	88040
441	69602	87868
442	69732	87677
443	69863	87486
444	70016	87324
445	70165	87155
446	70309	86982
447	70451	86806
448	70557	86586
449	70703	86414
450	70860	86257
451	71052	86143
452	71191	85964
453	71341	85798
454	71480	85619
455	71604	85423
456	71797	85308
457	71924	85115
458	72060	84934
459	72172	84724
460	72303	84537
461	72444	84361
462	72605	84209
463	72737	84023
464	72884	83856
465	73004	83657
466	73120	83454
467	73250	83268
468	73359	83056
469	73478	82858
470	73596	82658
471	73731	82479
472	73910	82348
473	74031	82153
474	74157	81963
475	74302	81794
476	74428	81605
477	74567	81431
478	74733	81286
479	74907	81149
480	75058	80988
481	75226	80845
482	75352	80657
483	75509	80502
484	75660	80340
485	75804	80172
486	75962	80018
487	76124	79868
488	76290	79723
489	76425	79544
490	76602	79410
491	76755	79251
492	76908	79092
493	77064	78936
494	77190	78750
495	77347	78595
496	77487	78422
497	77602	78225
498	77754	78066
499	77883	77883
500	77994	77682
501	78143	77520
502	78299	77365
503	78431	77186
504	78679	77121
505	78877	77006
506	79045	76862
507	79213	76718
508	79434	76625
509	79596	76475
510	79783	76348
511	79949	76202
512	80102	76042
513	80276	75903
514	80421	75736
515	80567	75571
516	80710	75402
517	80869	75248
518	81037	75104
519	81215	74968
520	81375	74815
521	81558	74683
522	81722	74534
523	81908	74405
524	82082	74265
525	82215	74087
526	82402	73959
527	82557	73801
528	82685	73619
529	82843	73464
530	83034	73339
531	83190	73182
532	83388	73063
533	83526	72890
534	83676	72728
535	83824	72564
536	83988	72414
537	84159	72270
538	84317	72116
539	84475	71961
540	84640	71811
541	84834	71686
542	84981	71521
543	85221	71435
544	85360	71264
545	85496	71090
546	85660	70940
547	85795	70765
548	85940	70599
549	86128	70468
550	86306	70329
551	86459	70169
552	86658	70047
553	86809	69886
554	86959	69724
555	87105	69558
556	87269	69408
557	87468	69285
558	87607	69114
559	87713	68918
560	87870	68761
561	88008	68589
562	88164	68433
563	88329	68283
564	88472	68116
565	88650	67975
566	88777	67796
567	89035	67717
568	89231	67590
569	89376	67424
570	89545	67276
571	89653	67083
572	89790	66912
573	89936	66747
574	90110	66603
575	90274	66451
576	90433	66297
577	90577	66131
578	90728	65970
579	90885	65813
580	91040	65655
581	91175	65483
582	91340	65332
583	91507	65183
584	91640	65010
585	91771	64835
586	91902	64660
587	92062	64506
588	92198	64335
589	92351	64176
590	92509	64020
591	92740	63915
592	92956	63799
593	93146	63665
594	93378	63559
595	93563	63422
596	93696	63248
597	93870	63103
598	94115	63005
599	94251	62834
600	94403	62673
601	94562	62518
602	94728	62366
603	94895	62216
604	95053	62059
605	95196	61893
606	95352	61735
607	95493	61568
608	95599	61378
609	95730	61204
610	95952	61089
611	96137	60949
612	96287	60788
613	96464	60643
614	96643	60500
615	96827	60359
616	96999	60211
617	97151	60051
618	97319	59900
619	97507	59762
620	97660	59602
621	97799	59434
622	97989	59296
623	98121	59124
624	98290	58974
625	98465	58827
626	98612	58664
627	98723	58479
628	98878	58320
629	99044	58168
630	99198	58009
631	99342	57844
632	99513	57695
633	99650	57526
634	99757	57340
635	99906	57178
636	100052	57015
637	100180	56842
638	100344	56689
639	100471	56515
640	100603	56344
641	100747	56179
642	100893	56017
643	101031	55849
644	101172	55684
