iter	Passed	Remaining
0	152	15123
1	169	8286
2	178	5775
3	185	4450
4	191	3634
5	196	3074
6	200	2667
7	204	2354
8	209	2113
9	212	1910
10	215	1747
11	219	1606
12	222	1490
13	225	1387
14	229	1298
15	232	1220
16	236	1152
17	239	1091
18	243	1038
19	247	988
20	250	944
21	254	901
22	258	864
23	261	829
24	265	796
25	269	766
26	272	737
27	276	711
28	280	686
29	283	662
30	287	640
31	291	619
32	294	598
33	298	579
34	301	560
35	305	542
36	308	525
37	311	508
38	314	492
39	317	476
40	320	461
41	324	447
42	327	434
43	331	422
44	335	409
45	338	397
46	341	385
47	345	373
48	348	362
49	351	351
50	354	340
51	358	330
52	361	320
53	365	310
54	367	301
55	371	291
56	374	282
57	377	273
58	381	264
59	384	256
60	387	247
61	391	239
62	394	231
63	397	223
64	400	215
65	404	208
66	407	200
67	411	193
68	414	186
69	417	179
70	420	171
71	424	165
72	428	158
73	431	151
74	435	145
75	438	138
76	442	132
77	446	125
78	449	119
79	452	113
80	455	106
81	459	100
82	462	94
83	465	88
84	468	82
85	472	76
86	475	71
87	478	65
88	482	59
89	485	53
90	489	48
91	492	42
92	495	37
93	499	31
94	502	26
95	505	21
96	508	15
97	512	10
98	515	5
99	519	0
